Time,Index,Option,Entry,SL,Target,Direction,Reason
2025-04-24 12:53:50,NIFTY,NFO:NIFTY25APR24150CE,106.4,76.4,166.4,LONG,Quick Scalping Strategy
2025-04-24 13:01:59,NIFTY,NFO:NIFTY25APR24150CE,103,73,163,LONG,Quick Scalping Strategy
2025-04-24 13:09:58,BANKNIFTY,NFO:BANKNIFTY25APR55300CE,101.85,71.85,161.85,LONG,Quick Scalping Strategy
2025-04-25 09:20:47,NIFTY,NFO:NIFTY2543024500CE,106.2,76.2,166.2,LONG,Quick Scalping Strategy
2025-04-25 09:25:24,BANKNIFTY,NFO:BANKNIFTY25MAY59000CE,103.7,73.7,163.7,LONG,Quick Scalping Strategy
2025-04-28 09:20:55,NIFTY,NFO:NIFTY2543024150CE,116.5,86.5,176.5,LONG,Quick Scalping Strategy
2025-04-29 09:20:06,NIFTY,NFO:NIFTY2543024400CE,101.3,71.3,161.3,LONG,Quick Scalping Strategy
2025-04-29 09:23:32,BANKNIFTY,NFO:BANKNIFTY25MAY60000CE,103.85,73.85,163.85,LONG,Quick Scalping Strategy
2025-04-30 09:21:42,NIFTY,NFO:NIFTY2543024200CE,106.75,76.75,166.75,LONG,Quick Scalping Strategy
2025-04-30 09:33:08,BANKNIFTY,NFO:BANKNIFTY25MAY59500CE,105.7,75.7,165.7,LONG,Quick Scalping Strategy
